u_id,f_id,score,actual name,result name,fuzzywuzzy ratio
1,/m/02rk23,846.087097,South Carolina State University,South Carolina State University,100
2,/m/01t8sr,999.632935,Tennessee State University,Tennessee State University,100
3,/m/03818y,813.049561,Clark Atlanta University,Clark Atlanta University,100
4,/m/02ldkf,817.781738,North Carolina A&T State University,North Carolina Agricultural and Technical State University,60
5,/m/02hdht,541.11145,University of Bridgeport,University of Bridgeport,100
6,/m/01s7pm,1325.822388,University of Texas--El Paso,University of Texas at El Paso,85
7,/m/02qvvv,725.998047,Florida A&M University,Florida A&M University,100
8,/m/02rklk,492.738281,Barry University,Barry University,100
9,/m/02w2bc,776.424927,Central Michigan University,Central Michigan University,100
10,/m/021l5s,741.50238,Indiana State University,Indiana State University,100
11,/m/06txt_,418.165497,Immaculata University,Immaculata University,100
12,/m/02jztz,746.44928,New Mexico State University-Main Campus,New Mexico State University,100
13,/m/04bbpm,701.363953,Indiana University of Pennsylvania,Indiana University of Pennsylvania,100
14,/m/01nhgd,808.803406,Cleveland State University,Cleveland State University,100
15,/m/0pf4w,616.648926,University of La Verne,University of La Verne,100
16,/m/02fszn,2173.502686,Indiana University-Purdue University--Indianapolis,Indiana University-Purdue University Indianapolis,95
17,/m/02y9bj,711.882263,University of Memphis,University of Memphis,100
18,/m/0315d4,541.503784,Trinity International University,Trinity International University,100
19,/m/04w5hs,518.464539,Widener University,Widener University,100
20,/m/0m9_5,872.636353,East Carolina University,East Carolina University,100
21,/m/01p79b,1147.733887,Bowling Green State University,Bowling Green State University,100
22,/m/05d_lm,719.765625,Nova Southeastern University,Nova Southeastern University,100
23,/m/01sqb3,611.241211,Texas Woman's University,Texas Woman's University,100
24,/m/0pgmj,1084.93335,University of Massachusetts--Boston,University of Massachusetts Boston,94
25,/m/02hp6p,533.745239,University of Hartford,University of Hartford,100
26,/m/01jpqb,2000.490723,University of Nevada--Las Vegas,"University of Nevada, Las Vegas",93
27,/m/0cchk3,937.219238,University of Southern Mississippi,The University of Southern Mississippi,100
28,/m/0gy3w,763.624573,Louisiana Tech University,Louisiana Tech University,100
29,/m/0kddq,1417.780396,University of North Carolina--Greensboro,University of North Carolina at Greensboro,90
30,/m/03d639,548.39093,Trevecca Nazarene University,Trevecca Nazarene University,100
31,/m/04bfg,1285.14563,Kent State University,Kent State University,100
32,/m/02yxjs,992.1073,Northern Illinois University,Northern Illinois University,100
33,/m/022lly,810.933167,Ball State University,Ball State University,100
34,/m/01hhvg,1251.550659,University of California--Riverside,"University of California, Riverside",94
35,/m/02xpy5,828.907959,Northern Arizona University,Northern Arizona University,100
36,/m/024y8p,1649.802612,University of North Carolina--Charlotte,University of North Carolina at Charlotte,89
37,/m/01gwck,783.099854,Portland State University,Portland State University,100
38,/m/02fjzt,969.03241,University of Rhode Island,University of Rhode Island,100
39,/m/03l78j,976.421875,Florida Atlantic University,Florida Atlantic University,100
40,/m/01_k7f,699.423828,University of Northern Colorado,University of Northern Colorado,100
41,/m/01q0kg,1123.664551,San Diego State University,San Diego State University,100
42,/m/018sg9,880.311584,Andrews University,University of St Andrews,55
43,/m/01j_06,949.26825,Seton Hall University,Seton Hall University,100
45,/m/01stj9,853.852051,Old Dominion University,Old Dominion University,100
46,/m/030w4k,486.846588,Regent University,Regent University,100
47,/m/0ks67,1126.876099,"Rutgers, the State University of New Jersey--Newark",Rutgers University,72
48,/m/01jpyb,985.42395,University of Nevada--Reno,"University of Nevada, Reno",92
49,/m/01jq0j,566.460938,The University of West Florida,Florida State University,50
50,/m/02j416,806.748474,Georgia State University,Georgia State University,100
51,/m/02_7kp,1331.316528,University of Hawaii--Manoa,University of Hawaii at Manoa,85
52,/m/01lczl,878.25708,University of Massachusetts--Lowell,University of Massachusetts Lowell,94
53,/m/03np_7,1011.153137,University of Texas--Arlington,University of Texas at Arlington,86
54,/m/04pmt5,662.236145,Saint Mary's University of Minnesota,Saint Mary's University of Minnesota,100
55,/m/01h8rk,1316.364258,Washington State University,Washington State University,100
56,/m/020ddc,928.588379,University of Maine,University of Maine,100
57,/m/0321m8,956.562256,University of Colorado--Denver,University of Colorado at Denver,86
58,/m/02482c,707.521912,University of New Mexico-Main Campus,University of New Mexico,100
59,/m/0f102,732.41156,University of Idaho,University of Idaho,100
60,/m/025yxlt,674.742188,University of Montana--Western,University of Montana - Western,93
61,/m/029qzx,702.323792,Oral Roberts University,Oral Roberts University,100
62,/m/02lv2v,693.376831,Pace University,Pace University,100
63,/m/01nkcn,886.887268,Utah State University,Utah State University,100
64,/m/01n_g9,1103.688599,Texas Tech University,Texas Tech University,100
65,/m/0177sq,931.901672,Virginia Commonwealth University,Virginia Commonwealth University,100
66,/m/02fy0z,911.588562,Ohio University,Ohio University,100
67,/m/01jzyx,1623.963379,St. John's University-New York,St. John's University,100
68,/m/05zjtn4,1247.934814,University of North Texas,University of North Texas,100
69,/m/02gr81,1012.158203,University of Houston,University of Houston,100
71,/m/03205_,532.900391,Adelphi University,Adelphi University,100
72,/m/02fgq7,684.43158,Azusa Pacific University,Azusa Pacific University,100
73,/m/01hx2t,1063.773071,Oregon State University,Oregon State University,100
74,/m/02cn6c,583.043823,George Fox University,George Fox University,100
75,/m/07vyf,1317.655762,University of Arizona,University of Arizona,100
76,/m/01lnyf,945.880371,Wichita State University,Wichita State University,100
77,/m/06thjt,1035.830078,New School,The New School,100
78,/m/02dq8f,943.033447,University at Albany--SUNY,"University at Albany, The State University of New York",76
79,/m/01ngz1,849.623779,University of South Dakota,University of South Dakota,100
80,/m/0217m9,1108.927856,Howard University,Howard University,100
81,/m/01jt2w,1319.138672,Temple University,Temple University,100
82,/m/01ptt7,1161.15625,University of Kentucky,University of Kentucky,100
83,/m/01n6r0,1199.642944,University of Oregon,University of Oregon,100
84,/m/01dzg0,1212.627808,Mississippi State University,Mississippi State University,100
85,/m/07wlf,1080.355469,University of Utah,University of Utah,100
86,/m/01vs64,1313.333252,Oklahoma State University,Oklahoma State University–Stillwater,100
87,/m/02mp0g,817.691345,University of Wyoming,University of Wyoming,100
88,/m/01wdl3,1265.276733,University of Alabama,University of Alabama,100
89,/m/033x5p,504.647003,Pacific University,University of the Pacific,55
90,/m/02s8qk,558.346497,Duquesne University,Duquesne University,100
91,/m/02vnp2,1400.441162,The Catholic University of America,The Catholic University of America,100
92,/m/02ln0f,950.191467,University of Cincinnati,University of Cincinnati,100
93,/m/027mdh,987.692017,University of San Francisco,University of San Francisco,100
94,/m/01j_cy,1661.319702,Michigan State University,Michigan State University,100
95,/m/01ps1k,979.543701,New Jersey Institute of Technology,New Jersey Institute of Technology,100
96,/m/02x9g_,1223.525879,Montana State University,Montana State University - Bozeman,100
97,/m/01y17m,1411.775513,University of Illinois--Chicago,University of Illinois at Chicago,87
98,/m/02d_zc,1433.908325,Colorado State University,Colorado State University,100
99,/m/02jyr8,1294.657959,University of Alabama--Birmingham,University of Alabama at Birmingham,87
100,/m/02l8j1,509.065796,Clarkson University,Clarkson University,100
101,/m/02mj7c,903.115417,DePaul University,DePaul University,100
102,/m/0225bv,1111.665771,University of Louisville,University of Louisville,100
103,/m/02hp70,991.812012,University of New Hampshire,University of New Hampshire,100
104,/m/09s5q8,1692.553101,University of South Florida,University of South Florida,100
105,/m/05x_5,1562.539429,Purdue University--West Lafayette,Purdue University,100
107,/m/039d4,892.551453,George Mason University,George Mason University,100
108,/m/02bjhv,671.984497,University of Dayton,University of Dayton,100
109,/m/07vhb,1766.586914,University of California--Santa Cruz,"University of California, Santa Cruz",94
110,/m/03jc1t,850.844482,University of Alabama--Huntsville,University of Alabama in Huntsville,87
111,/m/01pl14,1080.698242,Louisiana State University--Baton Rouge,Louisiana State University,100
112,/m/02cttt,664.906311,SUNY Buffalo State,"University at Buffalo, The State University of New York",72
113,/m/0391l4,679.270325,Florida Institute of Technology,Florida Institute of Technology,100
114,/m/0146hc,1124.697754,University of Central Florida,University of Central Florida,100
115,/m/078bz,1180.078857,Syracuse University,Syracuse University,100
116,/m/0jkhr,1017.479187,North Carolina State University--Raleigh,North Carolina State University,100
117,/m/0221g_,882.870239,Texas Christian University,Texas Christian University,100
118,/m/01qrb2,1736.904907,Indiana University--Bloomington,Indiana University Bloomington,93
119,/m/0c5x_,1429.990845,University of California--Irvine,"University of California, Irvine",93
120,/m/07ccs,1694.220825,Texas A&M University--College Station,Texas A&M University,100
122,/m/02l8qv,446.420624,SUNY College of Environmental Science and Forestry,State University of New York College of Environmental Science and Forestry,94
123,/m/01qgr3,1476.366211,The University of Tennessee,University of Tennessee,100
124,/m/07vht,1664.348145,University of California--Davis,"University of California, Davis",93
125,/m/01swxv,919.700989,University of Delaware,University of Delaware,100
126,/m/02zg12,530.73584,Samford University,Samford University,100
127,/m/033x5p,906.3125,University of the Pacific,University of the Pacific,100
128,/m/016vf7,1565.542847,University of Missouri--Kansas City,University of Missouri–Kansas City,91
129,/m/01ky7c,1386.244629,University of Massachusetts--Amherst,University of Massachusetts Amherst,94
130,/m/01vs5c,566.039795,University of Oklahoma Norman Campus,University of Oklahoma,100
131,/m/01r3y2,687.080933,Miami University--Oxford,Miami University,100
132,/m/02tcv_,600.505737,St. Thomas University,University of St. Thomas,64
133,/m/02mzg9,918.37146,University of Denver,University of Denver,100
134,/m/01l8t8,973.604248,Stony Brook University--SUNY,State University of New York at Stony Brook,56
135,/m/020ym6,1370.344849,University of Maryland--Baltimore County,University of Maryland Baltimore County,94
136,/m/01f1r4,2219.963379,University of California--Santa Barbara,"University of California, Santa Barbara",94
137,/m/02607j,602.81665,Hofstra University,Hofstra University,100
138,/m/0ks67,1390.88501,"Rutgers, the State University of New Jersey--New Brunswick",Rutgers University,72
139,/m/0187nd,1436.909302,University of Missouri,University of Missouri–Columbia,100
140,/m/01qd_r,1948.024536,University of Colorado--Boulder,University of Colorado Boulder,93
141,/m/02mt2n,1002.518188,University of Texas--Dallas,University of Texas at Dallas,85
142,/m/037fqp,601.086182,Marquette University,Marquette University,100
143,/m/01q7q2,1139.993652,University of Vermont,University of Vermont,100
144,/m/0b1xl,1060.224243,Loyola University Chicago,Loyola University Chicago,100
145,/m/01tx9m,860.279846,Baylor University,Baylor University,100
146,/m/03tw2s,1729.185547,University of South Carolina,University of South Carolina,100
147,/m/01p5xy,535.227295,Clark University,Clark University,100
148,/m/03v6t,1386.981689,Iowa State University,Iowa State University,100
149,/m/029d_,615.645874,Drexel University,Drexel University,100
150,/m/0cfv1,688.722717,Michigan Technological University,Michigan Technological University,100
152,/m/01j_9c,1436.260864,University of Iowa,University of Iowa,100
153,/m/01jswq,871.77655,Virginia Tech,Virginia Polytechnic Institute and State University,69
154,/m/04hgpt,2032.250977,Pennsylvania State University--University Park,Pennsylvania State University,100
155,/m/07t90,689.46991,University of Washington-Seattle Campus,University of Washington,100
156,/m/01jq0j,1572.436646,Florida State University,Florida State University,100
157,/m/02rky4,809.723999,University of San Diego,University of San Diego,100
