1856,/m/0clvlpg,0.03975,BMG,Yeshiva Toras Chaim Talmudical Seminary,0,TRUE,REMOVE,
1914,/m/0c_5g9,38.962112,COLORADO TECHNICAL UNIVERSITY,Colorado Technical University,17,,,
1139,/m/02wcn9x,11.556614,LIM College,Laboratory Institute of Merchandising,18,TRUE,,
2011,,,asdasd,No result,18,,REMOVE,
1887,/m/06hnmh,0.990861,MGIMO,Moscow State Institute of International Relations,20,TRUE,,
1989,/m/02nf69,74.953667,BRIGHAM YOUNG UNIVERSITY (IDAHO),Brigham Young University-Idaho,20,,,
1911,/m/04j6hl3,,Keller Scholl of Management,Keller Graduate School of Management,22,,DeVry University,/m/02gnjf
1955,/m/026vz8_,,"KBP Satara,India",Karmaveer Bhaurao Patil College,22,,,
1964,/m/04j6hl3,,Keller Grad School of Management,Keller Graduate School of Management,22,,DeVry University,/m/02gnjf
1965,/m/04l915,,Academy of Economic Studies Romania,Academy of Economic Studies,22,,,
1901,/m/080gg0r,,"JKUAT, Kenya",Jomo Kenyatta University of Agriculture and Technology,23,,,
1986,/m/04gz95,0.562938,SVSU,Saginaw Valley State University,25,TRUE,,
1857,/m/01f1r4,1.366957,UCSB,"University of California, Santa Barbara",25,TRUE,,
1501,/m/02qdsnc,21.000784,Southwest University of Visual Arts,The Art Center Design College,27,TRUE,Was Renamed. Freebase written 2011,
2004,/m/0438f,0.924959,JMU,James Madison University,33,TRUE,,
1905,/m/02jyr8,1.858862,UAB,University of Alabama at Birmingham,33,TRUE,,
1980,/m/016c9h,1.961017,IIT,Indian Institute of Technology Bombay,33,TRUE,AMBIGUOUS,
615,/m/04dyxq0,,American Indian College of the Assemblies of God,American Indian College,33,,,
619,/m/0b4zyp,,American Public University System,American Public University System,33,,,
1540,/m/0gjdx_3,,St. Luke's College of Health Sciences,St. Luke's College of Health Sciences,33,,,
1867,/m/081tkx,,Al Mustansiriyah Uni.,Mustansiriya University,33,,,
1880,/m/02f8rx,,"Univerisity of California, Merced","University of California, Merced",33,,,
1884,/m/0bwfn,,New York University Gallatin,New York University,33,,,
1888,,,National College of Midwifery,No result,33,,NOT FOUND,
1913,/m/0clw0g_,,West wood college,"Westwood College, Dupage",33,,,
1932,,,Some Shit School,No result,33,,REMOVE,
2007,/m/0c7yd6,,Art Institute of Phildelphia,The Art Institute of Philadelphia,33,,,
352,/m/018kpx,63.237583,College of New Jersey,College of New Jersey,35,,,
2012,/m/0345h6,,American Univ. of Dubai,American University in Dubai,35,,,
829,/m/0c2bq8,20.13023,Colorado Mesa University,Mesa State College,36,TRUE,OLD NAME,
1772,/m/05cj63,16.222511,Victory University,Crichton College,37,TRUE,OLD NAME,
1448,,,Sanford College of Nursing,No result,37,,200244,Sanford College of Nursing
1522,/m/04g2_vk,,St. Francis Medical Center College of Nursing,Saint Francis Medical Center College of Nursing,37,,148575,Saint Francis Medical Center College of Nursing
996,/m/03byg2j,19.640671,Goldfarb School of Nursing at Barnes-Jewish College,Barnes‰ÛÒJewish College of Nursing and Allied Health,39,TRUE,OLD NAME,
1530,/m/01g4c1,821.566467,"St. John's University - Collegeville, MN",College of Saint Benedict,39,,,
1571,/m/02r93z,4.885832,SUNY College of Technology--Delhi,State University of New York at Delhi,40,TRUE,,
1570,/m/02q5v6,6.835848,SUNY College of Technology--Canton,State University of New York at Canton,41,TRUE,,
