upstart_id	freebase_id	confidence
1	/m/02rk23	48.38
2	/m/01t8sr	49.35
3	/m/03818y	47.5
4	/m/02ldkf	48.12
5	/m/02hdht	43.18
6	/m/01s7pm	52.77
7	/m/02qvvv	45.79
8	/m/02rklk	42.33
9	/m/02w2bc	45.61
10	/m/021l5s	45.91
11	/m/06txt_	41.93
12	/m/02jztz	45.71
13	/m/04bbpm	45.65
14	/m/01nhgd	45.92
15	/m/0pf4w	45.67
16	/m/02fszn	60.0
17	/m/02y9bj	44.76
18	/m/0315d4	45.75
19	/m/04w5hs	42.14
20	/m/0m9_5	46.83
21	/m/01p79b	49.88
22	/m/05d_lm	45.71
23	/m/01sqb3	45.62
24	/m/0pgmj	50.81
25	/m/02hp6p	41.95
26	/m/01jpqb	57.29
27	/m/0cchk3	48.82
28	/m/0gy3w	45.9
29	/m/0kddq	54.11
30	/m/03d639	45.52
31	/m/04bfg	51.2
32	/m/02yxjs	48.45
33	/m/022lly	45.88
34	/m/01hhvg	51.46
35	/m/02xpy5	46.73
36	/m/024y8p	55.31
37	/m/01gwck	45.5
38	/m/02fjzt	48.6
39	/m/03l78j	48.55
40	/m/01_k7f	45.67
41	/m/01q0kg	48.64
42	/m/018sg9	46.08
43	/m/01j_06	47.91
45	/m/01stj9	46.75
46	/m/030w4k	41.99
47	/m/0ks67	47.61
48	/m/01jpyb	48.68
49	/m/0386jx	41.08
50	/m/02j416	45.84
51	/m/02_7kp	52.06
52	/m/01lczl	48.28
53	/m/03np_7	49.19
54	/m/04pmt5	48.2
55	/m/01h8rk	51.0
56	/m/020ddc	47.59
57	/m/0321m8	49.61
58	/m/02482c	43.93
59	/m/0f102	45.03
60	/m/025yxlt	48.53
61	/m/029qzx	45.94
62	/m/02lv2v	44.68
63	/m/01nkcn	46.81
64	/m/01n_g9	48.85
65	/m/0177sq	47.66
66	/m/02fy0z	46.34
67	/m/01jzyx	55.49
68	/m/05zjtn4	50.65
69	/m/02gr81	47.09
71	/m/03205_	42.29
72	/m/02fgq7	45.84
73	/m/01hx2t	47.73
74	/m/02cn6c	45.49
75	/m/07vyf	49.63
76	/m/01lnyf	48.3
77	/m/06thjt	48.58
78	/m/02dq8f	47.9
79	/m/01ngz1	48.46
80	/m/0217m9	48.55
81	/m/01jt2w	50.57
82	/m/01ptt7	48.94
83	/m/01n6r0	48.78
84	/m/01dzg0	50.59
85	/m/07wlf	47.67
86	/m/01vs64	50.83
87	/m/02mp0g	45.9
88	/m/01wdl3	49.4
89	/m/04pjmj	42.11
90	/m/02s8qk	41.93
91	/m/02vnp2	52.84
92	/m/02ln0f	46.7
93	/m/027mdh	48.34
94	/m/01j_cy	52.17
95	/m/01ps1k	49.6
96	/m/02x9g_	51.52
97	/m/01y17m	52.76
98	/m/02d_zc	52.14
99	/m/02jyr8	52.78
100	/m/02l8j1	42.19
101	/m/02mj7c	46.68
102	/m/0225bv	49.03
103	/m/02hp70	48.47
104	/m/09s5q8	54.22
105	/m/05x_5	51.21
107	/m/039d4	45.85
108	/m/02bjhv	44.26
109	/m/07vhb	55.27
110	/m/03jc1t	49.28
111	/m/01pl14	47.65
112	/m/02cttt	42.5
113	/m/0391l4	45.41
114	/m/0146hc	48.81
115	/m/078bz	48.3
116	/m/0jkhr	47.19
117	/m/0221g_	46.96
118	/m/01qrb2	54.23
119	/m/0c5x_	51.98
120	/m/07ccs	53.82
122	/m/02l8qv	42.45
123	/m/01qgr3	51.89
124	/m/07vht	53.61
125	/m/01swxv	46.45
126	/m/02zg12	42.31
127	/m/033x5p	48.08
128	/m/016vf7	55.58
129	/m/01ky7c	51.09
130	/m/01vs5c	39.55
131	/m/01r3y2	42.73
132	/m/0183m_	46.06
133	/m/02mzg9	47.01
134	/m/01l8t8	47.6
135	/m/020ym6	53.72
136	/m/01f1r4	57.24
137	/m/02607j	42.12
138	/m/03qjqt9	51.25
139	/m/0187nd	51.19
140	/m/01qd_r	55.11
141	/m/02mt2n	49.59
142	/m/037fqp	42.23
143	/m/01q7q2	49.5
144	/m/0b1xl	49.23
145	/m/01tx9m	45.25
146	/m/03tw2s	53.66
147	/m/01p5xy	42.11
148	/m/03v6t	50.98
149	/m/029d_	42.08
150	/m/0cfv1	45.66
152	/m/01j_9c	50.96
153	/m/01jswq	45.57
154	/m/04hgpt	54.54
155	/m/07t90	40.7
156	/m/01jq0j	51.49
157	/m/02rky4	46.46
158	/m/0hpv3	46.69
159	/m/01jsn5	50.91
160	/m/012vwb	43.44
161	/m/07w0v	54.75
162	/m/05krk	44.89
163	/m/026vcc	44.4
164	/m/02183k	50.79
165	/m/0187m6	47.96
166	/m/025v3k	56.51
167	/m/027kp3	43.34
168	/m/01qqv5	45.56
169	/m/02fgdx	48.78
170	/m/0l2tk	36.33
171	/m/0jpn8	48.46
172	/m/07vjm	57.77
173	/m/0j_sncb	49.41
174	/m/01y1ps	46.36
175	/m/07w3r	44.5
176	/m/01jssp	47.85
177	/m/0lyjf	50.68
178	/m/0187n1	48.45
179	/m/01p896	43.02
180	/m/0kw4j	47.95
181	/m/0gl5_	49.2
182	/m/01yx1b	57.57
183	/m/0225v9	45.75
184	/m/09f2j	62.91
185	/m/01nnsv	53.81
186	/m/049d1s	41.77
187	/m/0bx8pn	60.76
188	/m/01jq34	57.78
189	/m/0bthb	43.83
190	/m/07vfj	48.39
191	/m/0f1nl	43.69
192	/m/0220q6	60.87
193	/m/01hjy5	50.29
194	/m/02zd460	58.24
195	/m/0bwfn	54.63
197	/m/01bk1y	49.71
198	/m/0g8rj	41.97
199	/m/07szy	59.48
200	/m/017v3q	53.54
201	/m/01jsk6	48.79
202	/m/065y4w7	55.22
203	/m/0kz2w	42.12
204	/m/0cwx_	48.06
205	/m/09kvv	52.76
206	/m/01w3v	50.01
207	/m/0pspl	49.58
208	/m/0bqxw	43.73
209	/m/06fq2	45.13
210	/m/012mzw	53.6
211	/m/01pq4w	43.14
212	/m/01bm_	46.96
213	/m/0dzst	49.16
214	/m/06pwq	50.93
215	/m/07tds	51.75
216	/m/017j69	47.71
217	/m/02bqy	42.21
218	/m/0lfgr	43.91
219	/m/04rwx	56.64
220	/m/01w5m	55.03
221	/m/0g2jl	56.61
222	/m/07wrz	51.14
223	/m/03ksy	51.58
224	/m/05zl0	49.84
225	/m/08815	50.8
226	/m/02sjgpq	53.86
227	/m/02s62q	50.29
228	/m/03lcv	45.64
229	/m/017_3h	42.21
230	/m/086xm	42.17
231	/m/01q8hj	45.13
232	/m/01n4w_	45.78
233	/m/012fvq	43.89
234	/m/036__q	45.72
235	/m/0gdm1	42.17
236	/m/01p7x7	51.57
237	/m/0qlnr	42.32
238	/m/03hdz8	45.76
239	/m/0f1nl	50.87
240	/m/0k9wp	55.71
241	/m/02pdhz	42.31
242	/m/01ymvk	47.61
243	/m/0gm4v	50.08
244	/m/04gg2j	50.82
245	/m/016wyn	42.28
246	/m/027ybp	63.04
247	/m/015y3j	44.59
249	/m/04b06_	43.89
250	/m/02rg_4	42.31
251	/m/0172jm	42.22
252	/m/019c57	42.2
253	/m/01dq5z	44.84
254	/m/0418d0	46.63
255	/m/02gnh0	52.74
256	/m/07ccs	53.82
257	/m/02h30z	43.83
258	/m/02hft3	42.1
259	/m/01c333	42.14
260	/m/07w0v	54.75
261	/m/05q2c	42.23
262	/m/02gkxp	43.87
263	/m/07t90	52.75
264	/m/01j_5k	43.48
265	/m/021996	50.73
266	/m/016w7b	42.19
267	/m/0g8rj	50.88
268	/m/01fy81	41.75
269	/m/03k7dn	42.05
270	/m/01r3w7	47.93
271	/m/03qjqt9	51.25
272	/m/05qqf4	45.49
273	/m/017v71	41.94
274	/m/03bnd9	42.98
276	/m/01qd_r	55.11
277	/m/01jq34	51.33
278	/m/01d4ry	45.55
279	/m/011xy1	51.22
280	/m/01x3x1	53.62
281	/m/028fb0	45.49
282	/m/03tp8v	45.6
284	/m/020ym6	49.19
285	/m/018t8f	45.35
286	/m/01b1mj	41.95
287	/m/01y20v	38.27
288	/m/02km0m	44.86
289	/m/01jszm	43.1
290	/m/0bmc4pw	46.52
291	/m/01rkgb	42.1
292	/m/01ljpm	42.67
293	/m/022xml	42.1
294	/m/02vlcx6	45.93
295	/m/04tgb	41.9
296	/m/019n9w	42.09
297	/m/01wdj_	46.62
298	/m/02897w	41.91
299	/m/01vcs0	42.16
300	/m/01p896	43.02
301	/m/06bw5	42.03
302	/m/017y6l	44.62
303	/m/02yr1q	45.05
304	/m/01h1m8	45.73
305	/m/01pl14	47.65
306	/m/04_c85	42.01
307	/m/057wlm	41.09
308	/m/03hpkp	47.29
309	/m/021w0_	58.06
310	/m/025rcc	42.63
311	/m/05mv4	44.78
312	/m/0ks67	47.61
313	/m/02zcnq	53.38
314	/m/0438f	45.81
315	/m/02p9xn	49.77
316	/m/01ztq_	55.02
317	/m/01trj2	45.39
318	/m/045hc2	46.5
319	/m/01vs5c	51.86
320	/m/02k0pn	51.42
321	/m/0jkhr	54.64
322	/m/03lpld	41.85
323	/m/0160nk	46.59
324	/m/02dq8f	47.9
325	/m/03y5ky	42.84
326	/m/046lcl	42.24
327	/m/01rc6f	49.46
328	/m/04cnng	46.99
329	/m/02hp6b	42.98
330	/m/05mxkp	42.15
331	/m/01rgn3	42.11
332	/m/02hknm	45.67
333	/m/01r46p	42.21
334	/m/06blg9	41.53
335	/m/0321m8	49.61
336	/m/01cf5	44.57
337	/m/01848s	45.46
338	/m/01qgr3	52.58
339	/m/03fgm	42.21
340	/m/02rv1w	55.53
341	/m/0k__z	54.7
342	/m/01r4c_	44.92
343	/m/02h7qr	41.85
344	/m/02l424	45.55
345	/m/02k0gt	42.0
346	/m/0bx8pn	60.76
347	/m/02dqw8	42.29
348	/m/03xp2d	41.96
349	/m/02dg2q	41.85
350	/m/06jk5_	43.55
351	/m/05krk	41.55
352	/m/05zl0	51.8
353	/m/03jc1t	49.28
354	/m/0trv	53.0
356	/m/0778p	42.3
357	/m/01b_hz	48.08
358	/m/0187nd	51.19
359	/m/01r490	42.59
360	/m/031vm7	49.35
361	/m/019dwp	53.65
362	/m/02hdln	45.6
363	/m/0271vt	45.72
364	/m/02kbtf	44.68
365	/m/03l6bs	42.1
366	/m/013807	49.32
367	/m/0183m_	46.06
368	/m/01qwb5	42.01
369	/m/02grjf	41.99
370	/m/02x9g_	53.75
371	/m/02pptm	55.72
372	/m/039ccc	42.08
373	/m/021_r8	45.84
374	/m/01gc1n	54.22
375	/m/0148s7	42.32
376	/m/01pdgp	46.34
377	/m/035f9h	45.6
378	/m/01r3vh	42.31
379	/m/044qv_	42.66
380	/m/039swv	41.98
381	/m/01xysf	48.52
382	/m/02p29q	43.64
383	/m/02jztz	53.77
384	/m/01q_z_	45.78
385	/m/01r45j	42.19
386	/m/027b43	45.56
387	/m/01ytlh	42.1
388	/m/02hdt4	48.51
389	/m/037p46	42.18
390	/m/06xp1z	45.39
391	/m/02rmk7	42.13
392	/m/02hjcq	48.28
393	/m/02m8rk	37.83
394	/m/02szcs	41.88
395	/m/03h_qt	42.36
396	/m/02qytn	43.49
397	/m/01g4c1	42.86
398	/m/02gnmp	55.24
399	/m/02482c	52.78
400	/m/01ft27	42.23
401	/m/02gtf_	42.54
402	/m/0c0lfs	45.81
403	/m/02x9cv	50.06
404	/m/023541	42.13
405	/m/02hdrq	48.31
406	/m/04_zf1	45.97
407	/m/0187m6	47.96
408	/m/0kf7h	48.25
409	/m/038czx	42.19
410	/m/014m86	41.84
411	/m/02hsfj	46.49
412	/m/01_r9k	42.1
413	/m/08slqd	33.11
414	/m/035ktt	48.53
415	/m/01vs3p	51.34
416	/m/02brtj	45.76
417	/m/0hd7j	49.13
418	/m/039l1r	46.33
419	/m/02zccd	47.96
420	/m/02m6__	36.82
421	/m/02lvvt	37.24
422	/m/0fcps	41.96
423	/m/022fj_	47.69
424	/m/02hkrz	45.5
425	/m/02qdk1	28.99
426	/m/03cxzh	41.86
427	/m/023zxl	45.77
428	/m/030_7d	42.47
429	/m/033w8f	52.02
430	/m/01r49t	51.01
431	/m/021x6t	50.99
432	/m/030klw	50.99
433	/m/030w19	41.54
434	/m/0cbg_1	48.32
435	/m/02k5ct	38.52
436	/m/03hdnd	45.47
437	/m/0g3crz	41.9
438	/m/027ydt	45.49
439	/m/01r47h	45.45
440	/m/02c6zl	42.31
441	/m/05jm__	50.72
442	/m/01_j57	45.64
443	/m/037q2p	47.93
444	/m/0lwyk	45.89
445	/m/033wbb	49.73
446	/m/045cnw	43.0
447	/m/02rl14	45.64
448	/m/01b_8n	46.63
449	/m/079rtz	42.15
450	/m/054tfy	38.82
451	/m/035dnq	42.09
452	/m/02sn03	44.77
453	/m/06r9q5	42.41
454	/m/02m979	36.65
455	/m/01rp88	45.92
456	/m/01qdhx	42.77
457	/m/04g0f3d	41.99
458	/m/04bnrc	48.76
459	/m/029ffd	41.91
460	/m/03ct0t	42.15
461	/m/047gcj	45.74
462	/m/0clvs5s	37.98
463	/m/03lsxw	41.93
464	/m/02t4yc	45.88
465	/m/0lk9j	48.3
466	/m/04ymwf	45.55
467	/m/05smk0	43.14
468	/m/0p_88	45.95
469	/m/02cvcd	51.72
470	/m/04m7y7	41.79
471	/m/01_lm9	42.22
472	/m/02fs_d	50.12
473	/m/05sh1q	45.49
474	/m/033w7d	50.31
475	/m/03_vd1	45.77
476	/m/050vch	48.27
477	/m/02k58k	27.92
478	/m/03fpc4	34.28
479	/m/05206m	45.72
480	/m/02q253	41.95
481	/m/05d4w3	45.68
482	/m/062syj	42.34
483	/m/02zy1z	42.24
484	/m/0386jx	45.71
485	/m/03wy83	45.61
486	/m/02ss0n	45.7
487	/m/0644g0	45.55
488	/m/01qv9m	45.73
489	/m/01p9s3	48.71
490	/m/03wv2g	42.32
491	/m/03j8fq	40.94
492	/m/05hgkc	42.35
493	/m/03qzc6	46.66
494	/m/03x95b	42.37
495	/m/01_s9q	42.43
496	/m/021d_g	45.83
497	/m/0164_s	48.97
498	/m/0bfmmm	45.55
499	/m/02hscq	45.33
500	/m/069vxk	42.16
501	/m/02k597	35.94
502	/m/02tn09	42.02
504	/m/01v7f3	44.78
505	/m/01r3rh	42.18
506	/m/028jrm	42.14
507	/m/032k8z	46.15
508	/m/01sf82	45.57
509	/m/038rkt	42.14
510	/m/06wqzm	24.26
511	/m/01bcxh	45.6
512	/m/03km_f	48.46
513	/m/02594s	52.18
514	/m/04zjgd	48.6
515	/m/051mmb	45.45
516	/m/067qy1	45.55
517	/m/035h0v	41.9
518	/m/02w25w	42.41
519	/m/03x1s8	45.82
520	/m/0b2n6	41.79
521	/m/0131wy	42.4
522	/m/06j66k	45.62
523	/m/04bzll	42.18
524	/m/01fp3w	45.6
525	/m/03vbd2	45.87
526	/m/03x1yn	48.77
527	/m/02dspd	41.83
528	/m/056pcb	41.86
529	/m/049zxj	48.05
530	/m/02hf_9	49.83
531	/m/02k4vy	50.29
532	/m/0ghvb	45.85
533	/m/07bzm5	51.02
534	/m/04mvgc	42.17
535	/m/0718b	40.91
536	/m/03gsyj	50.35
537	/m/02hg0g	45.76
538	/m/02hg0t	45.79
539	/m/046gqv	29.41
540	/m/02vs6r	33.11
541	/m/02hg3b	50.9
542	/m/035fgg	48.84
543	/m/02l8v_	45.75
544	/m/01xssh	42.13
545	/m/0573vv	52.56
546	/m/05w45b	52.69
547	/m/052wq2	48.63
548	/m/07w82	45.54
549	/m/06n8yt	37.29
550	/m/01fsv9	45.53
551	/m/03x2gs	48.6
552	/m/03x23q	45.79
553	/m/024ps2	42.04
555	/m/03b4j2	42.01
558	/m/02dq8f	47.37
560	/m/05r6g2	45.65
563	/m/0cm743	41.82
571	/m/06l32y	41.9
574	/m/065r8g	50.93
575	/m/08vg87	41.87
576	/m/03ys0n	45.51
577	/m/02gnrt	41.99
578	/m/02y12s	45.87
579	/m/052nd	45.72
580	/m/02cvcd	51.72
584	/m/06t577	47.28
585	/m/037q_b	48.42
587	/m/04zw6b	41.93
590	/m/015fsv	47.87
591	/m/02zk_8	48.35
594	/m/02tm_m	45.61
595	/m/0558_1	45.71
596	/m/0323zy	48.58
597	/m/0xxc	42.32
598	/m/0gfvt	45.27
599	/m/03yrx2	42.18
600	/m/06zt8n7	47.99
601	/m/0276ypf	45.5
602	/m/05bwdk	45.76
603	/m/0379z0	45.49
604	/m/06b0j9	41.81
605	/m/02p6pp	42.3
606	/m/01ynz2	41.89
607	/m/029l7j	45.56
608	/m/0clvnks	40.93
609	/m/08sb5n	42.12
610	/m/0810kg	45.45
611	/m/0bqwwm	41.67
612	/m/04mqmn	41.89
613	/m/05cljw	41.89
614	/m/0277lfy	45.96
615		0.0
616	/m/07f5b8	45.8
617	/m/08d_bx	45.69
618	/m/05ncd0	45.47
619		0.0
620	/m/027s_f	45.48
621	/m/01z1zz	49.64
622	/m/02dgq2	48.36
623	/m/0bdjxk	45.81
624	/m/043p0z	48.7
625	/m/0gbwh9	41.82
626	/m/01q8bp	39.8
627	/m/04yqs6	31.69
628	/m/03rq29	45.5
629	/m/0498r0	45.63
630	/m/047p_1_	42.19
631	/m/04rptf	45.62
632	/m/01rgdw	45.93
633	/m/048nry	60.91
634	/m/066pm6	54.28
635	/m/05m3m3	42.06
636	/m/0fckyk	42.21
637	/m/09054g	45.52
638	/m/03fxrx	48.9
639	/m/0flwm0	46.04
640	/m/05whf8	48.32
641	/m/0bwb0h	45.71
642	/m/01b7lc	51.28
643	/m/066xpy	44.71
644	/m/0clvlhl	44.53
645	/m/041464t	44.3
646	/m/08_21s	44.48
647	/m/0clvtkx	44.52
648	/m/01fk_g	44.75
649	/m/04ybxt	42.21
650	/m/02rvd7_	42.32
651	/m/05l1bw	45.55
652	/m/05ytbh	46.02
653	/m/01jj9t	42.72
654	/m/045_qg	30.24
655	/m/02ptmht	41.97
656	/m/02zfm8	48.77
657	/m/09lrq1	45.51
658	/m/0bkw7t	42.11
659	/m/0bybhz	42.14
660	/m/0g1bgg	41.91
661	/m/0clvq2y	44.43
662	/m/03nbwm	42.17
663	/m/05136r	43.59
664	/m/08xlj4	45.93
665	/m/0bycb2	48.34
666	/m/071kzq	45.51
667	/m/05qht0	46.96
668	/m/06zld22	50.69
669	/m/01pcj4	43.69
670	/m/017f70	47.96
671	/m/09kc3x	41.87
672	/m/01ym0s	42.04
673	/m/01vc5m	41.78
